canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0750027,REGION_09,9,Region 09,61,0,0.0
0750028,REGION_04,4,Region 04,41,0,0.0
0750029,REGION_09,9,Region 09,61,0,0.0
0750030,REGION_09,9,Region 09,61,0,0.0
0750031,REGION_09,9,Region 09,61,0,0.0
0750032,REGION_04,4,Region 04,41,0,0.0
0750033,REGION_04,4,Region 04,41,0,0.0
0750034,REGION_02,2,Region 02,64,0,0.0
0750035,REGION_05,5,Region 05,24,0,0.0
0750036,REGION_09,9,Region 09,61,0,0.0
0750037,REGION_04,4,Region 04,41,0,0.0
0750038,REGION_04,4,Region 04,41,0,0.0
0750039,REGION_04,4,Region 04,41,0,0.0
0750040,REGION_04,4,Region 04,41,0,0.0
0750041,REGION_01,1,Region 01,25,0,0.0
0750042,REGION_07,7,Region 07,41,0,0.0
0750043,REGION_04,4,Region 04,41,0,0.0
0750044,REGION_09,9,Region 09,61,0,0.0
0750045,REGION_06,6,Region 06,26,0,0.0
0750046,REGION_08,8,Region 08,26,0,0.0
0750047,REGION_09,9,Region 09,61,0,0.0
0750048,REGION_09,9,Region 09,61,0,0.0
0750049,REGION_07,7,Region 07,41,0,0.0
0750050,REGION_04,4,Region 04,41,0,0.0
0750051,REGION_02,2,Region 02,64,0,0.0
0750052,REGION_10,10,Region 10,47,0,0.0
0750053,REGION_02,2,Region 02,64,0,0.0
0750054,REGION_08,8,Region 08,26,0,0.0
0750055,REGION_08,8,Region 08,26,0,0.0
0751001,REGION_09,9,Region 09,61,0,0.0
0751002,REGION_09,9,Region 09,61,0,0.0
0751003,REGION_09,9,Region 09,61,0,0.0
0751004,REGION_02,2,Region 02,64,0,0.0
0751005,REGION_10,10,Region 10,47,0,0.0
0751006,REGION_02,2,Region 02,64,0,0.0
0751007,REGION_02,2,Region 02,64,0,0.0
0751008,REGION_02,2,Region 02,64,0,0.0
0751009,REGION_02,2,Region 02,64,0,0.0
0751010,REGION_02,2,Region 02,64,0,0.0
0757001,REGION_05,5,Region 05,24,0,0.0
0757002,REGION_05,5,Region 05,24,0,0.0
