mprec,srprec
"0400179","0740012"
"0400180","0740012"
"0410000","0741001"
"0410001","0741002"
"0410002","0741003"
"0410003","0741003"
"0410004","0741008"
"0410005","0741010"
"0410006","0741008"
"0410007","0410007"
"0410008","0410008"
"0410009","0741011"
"0410010","0741012"
"0410011","0741004"
"0410012","0741004"
"0410013","0741005"
"0410014","0741002"
"0410015","0741003"
"0410016","0741006"
"0410017","0410017"
"0410018","0741005"
"0410019","0741008"
"0410020","0741011"
"0410021","0741011"
"0410022","0410022"
"0410023","0741001"
"0410024","0741004"
"0410025","0741002"
"0410026","0741011"
"0410027","0741012"
"0410028","0741005"
"0410029","0741002"
"0410030","0741005"
"0410031","0741003"
"0410032","0741006"
"0410033","0741006"
"0410034","0741003"
"0410035","0741003"
"0410036","0741001"
"0410037","0741005"
"0410038","0741005"
"0410039","0741001"
"0410040","0741002"
"0410041","0410041"
"0410042","0741007"
"0410043","0741007"
"0410044","0741009"
"0410045","0741009"
"0410046","0410046"
"0410047","0741009"
"0410048","0741004"
"0410049","0741009"
"0410050","0741010"
"0410051","0410051"
"0410052","0741009"
"0410054","0741004"
"0410055","0741004"
"0410056","0741002"
"0410057","0741001"
"0410058","0741001"
"0420001","0420001"
"0420002","0420002"
"0420003","0742001"
"0420004","0742001"
"0440001","0440001"
"0440002","0440002"
"0440003","0744001"
"0440004","0744001"
"0440005","0440005"
"0440006","0440006"
"0490001","0749001"
"0490002","0749001"
"0490003","0749009"
"0490004","0749007"
"0490005","0749009"
"0490006","0749010"
"0490007","0749010"
"0490008","0749004"
"0490009","0749004"
"0490010","0749006"
"0490011","0749013"
"0490012","0749013"
"0490013","0749001"
"0490014","0749014"
"0490015","0749014"
"0490016","0749005"
"0490017","0749002"
"0490018","0749001"
"0490019","0749001"
"0490020","0749009"
"0490021","0749007"
"0490022","0749008"
"0490023","0749004"
"0490024","0749008"
"0490025","0749011"
"0490026","0749012"
"0490027","0749006"
"0490028","0749006"
"0490029","0749003"
"0490030","0749011"
"0490031","0749005"
"0490032","0749005"
"0490033","0749005"
"0490034","0749007"
"0490035","0749007"
"0490036","0749002"
"0490037","0749007"
"0490038","0749007"
"0490039","0749013"
"0490040","0749002"
"0490041","0749004"
"0490042","0749012"
"0490043","0749003"
"0490044","0490044"
"0490045","0749012"
"0490046","0749003"
"0490047","0749008"
"0490048","0749004"
"0490049","0490049"
"0490050","0749003"
"0500001","0750033"
"0500002","0750033"
"0500003","0750033"
"0500004","0750035"
"0500005","0750035"
"0500006","0750035"
"0500007","0500007"
"0500008","0500008"
"0500009","0500009"
"0500010","0500010"
"0500011","0750001"
"0500012","0750001"
"0500013","0750032"
"0500014","0750032"
"0500015","0750032"
"0500016","0750036"
"0500017","0750032"
"0500018","0750032"
"0500019","0750036"
"0500020","0750038"
"0500021","0750038"
"0500022","0500022"
"0500023","0750038"
"0500024","0500024"
"0500025","0500025"
"0500026","0500026"
